"","Company name","Registered number","Primary UK SIC (2007) code","Latest accounts date","Operating revenue (Turnover) th GBP Last avail. yr","Number of employees Last avail. yr","Credit score","Ticker symbol","Primary UK SIC (2007) description","ISIN number","Operating Profit th GBP Last avail. yr","EBITDA th GBP Last avail. yr","Profit (Loss) before Tax th GBP Last avail. yr","Trade Creditors th GBP Last avail. yr","Short Term Loans & Overdrafts th GBP Last avail. yr","Bank Overdrafts th GBP Last avail. yr","Group Loans (short t.) th GBP Last avail. yr","Director Loans (short t.) th GBP Last avail. yr","Hire Purch. & Leas. (short t.) th GBP Last avail. yr","Hire Purchase (short t.) th GBP Last avail. yr","Leasing (short t.) th GBP Last avail. yr","Other Short Term Loans th GBP Last avail. yr","Total Other Current Liabilities th GBP Last avail. yr","Corporation Tax th GBP Last avail. yr","Dividends payable th GBP Last avail. yr","Accruals & Def. Inc. (short t.) th GBP Last avail. yr","Social Securities & V.A.T. th GBP Last avail. yr","Other Current Liabilities th GBP Last avail. yr","Current Liabilities th GBP Last avail. yr","Net Current Assets th GBP Last avail. yr","Net Tangible Assets th GBP Last avail. yr","Working Capital th GBP Last avail. yr","Total Assets th GBP Last avail. yr","Total Assets minus Current Liabilities th GBP Last avail. yr","Long Term Debt th GBP Last avail. yr","Group Loans (long t.) th GBP Last avail. yr","Director Loans (long t.) th GBP Last avail. yr","Hire Purchase & Lease (LT) th GBP Last avail. yr","Hire Purchase (long t.) th GBP Last avail. yr","Leasing (long t.) th GBP Last avail. yr","Preference Shares (part of Liabilities) th GBP Last avail. yr","Other Long Term Loans th GBP Last avail. yr","Total Other Long Term Liab. th GBP Last avail. yr","Accruals & Def. Inc. (long t.) th GBP Last avail. yr","Other Long Term Liab. th GBP Last avail. yr","Provisions for Other Liab. th GBP Last avail. yr","Deferred Tax th GBP Last avail. yr","Other Provisions th GBP Last avail. yr","Pension Liabilities th GBP Last avail. yr","Long Term Liabilities th GBP Last avail. yr","Net assets th GBP Last avail. yr","Issued Capital th GBP Last avail. yr","Ordinary Shares th GBP Last avail. yr","Preference Shares (part of Equity) th GBP Last avail. yr","Other Shares th GBP Last avail. yr","Total Reserves th GBP Last avail. yr","Share Premium Account th GBP Last avail. yr","Revaluation Reserves th GBP Last avail. yr","Profit (Loss) Account th GBP Last avail. yr","Other Reserves th GBP Last avail. yr","Balance sheet Minorities th GBP Last avail. yr","Shareholders Funds th GBP Last avail. yr","Cash In(Out)flow Operat. Activ. th GBP Last avail. yr","Cash In(Out)flow Ret. On Invest. th GBP Last avail. yr","Taxation th GBP Last avail. yr","Cash Out(In)flow Investing Activ. th GBP Last avail. yr","Capital Expenditure & Financ. Invest. th GBP Last avail. yr","Acquisition & Disposal th GBP Last avail. yr","Equity Dividends Paid th GBP Last avail. yr","Management of Liquid Resources th GBP Last avail. yr","Cash Out(In)flow from Financing th GBP Last avail. yr","Increase (Decrease) Cash & Equiv. th GBP Last avail. yr","EBITDA margin Last avail. yr","Profit margin Last avail. yr"
"1.","1SPATIAL PLC","05429800","62090","31/01/2025","33383","344","95","SPA","Other information technology and computer service activities","GB00B09LQS34","872","5069","217","-4627","-369","-369","","","","","","","-11238","-171","","-6849","-3269","-949","-16234","1779","2505","65","41441","25207","-4273","","","","","","","-4273","-911","","-911","-316","-241","-75","-1226","-6726","18481","20191","","","","-1710","30597","","-40975","8668","n.a.","18481","4362","","-218","-5515","","","","","769","-602","15.184375281","0.650031453"
"2.","3I GROUP PLC","01142830","64999","31/03/2025","5062000","226","95","III","Other financial service activities, except insurance and pension funding, (not including security dealing on own account and factoring) n.e.c.","GB00B1YW4409","5024000","5036000","5039000","","","","","","","","","","-150000","-1000","","","","-149000","-150000","437000","25863000","","26056000","25906000","-1194000","","","","","","","-1194000","-81000","","-81000","-3000","-1000","-2000","-17000","-1295000","24611000","719000","","","","23892000","792000","","1845000","21255000","n.a.","24611000","751000","-45000","-3000","-16000","","","-625000","","-5000","57000","99.486369024","99.545634137"
"3.","3I INFRASTRUCTURE PLC","JE95682","64301","31/03/2024","374000","9","n.a.","3IN","Activities of investment trusts","JE00BF5FX167","382000","382000","347000","","","","","","","","","","-48000","","","","","-48000","-48000","-7000","3884000","","3932000","3884000","-510000","","","","","","","-510000","-32000","","-32000","","","","","-542000","3342000","879000","","","","2463000","","","1282000","1181000","n.a.","3342000","117000","-34000","","","","","-106000","","23000","","","92.780748663"
"4.","4BASEBIO PLC","13519889","74909","31/12/2024","933","100","81","4BB","Other professional, scientific and technical activities (not including environmental consultancy or quantity surveying) n.e.c.","GB00BMCLYF79","-12042","-11109","-12654","-1694","-147","","","","","","","-147","-1424","","","-593","","-831","-3265","33623","37282","-1037","44727","41462","-14294","","","","","","","-14294","-788","-54","-734","","","","","-15082","26380","13772","","","","12608","37250","","-38723","14081","n.a.","26380","-11152","598","-204","-1571","","","","","43881","31552","n.s.","n.s."
"5.","4IMPRINT GROUP PLC","00177991","70100","28/12/2024","1092485","1654","97","FOUR","Activities of head offices","GB0006640972","118281","123711","123313","-61018","","","","","","","","","-16371","","","-11021","-3434","-1916","-77390","105902","147831","-16213","229614","152224","","","","","","","","","-2715","","-2715","-1677","-1677","","","-4392","147832","15095","","","","132737","56545","","74036","2156","n.a.","147832","134494","","-28592","-80824","","","-52312","","-2795","-30030","11.323816803","11.287386097"
"6.","80 MILE PLC","05389216","08990","31/12/2024","","7","28","80M","Other mining and quarrying n.e.c.","GB00BFD3VF20","-9676.595","-4461.709","-9561.414","-240.736","","","","","","","","","-450.569","","","-230.609","","-219.96","-691.305","1830.44","7875.077","-240.736","34153.95","33462.645","","","","","","","","","","","","-496.045","-496.045","","","-496.045","32966.6","7651.735","","","","25314.865","66986.078","","-34078.292","-7592.921","n.a.","32966.6","-3034.225","0.075","","-760.583","","","","","4235.037","440.304","",""
"7.","A.G. BARR P.L.C.","SC005653","11070","25/01/2025","420400","964","95","BAG","Manufacture of soft drinks; production of mineral waters and other bottled waters","GB00B6XZKY75","51700","63900","53200","-32400","","","","","","","","","-44000","","","-36800","-4000","-3200","-76400","97500","222300","72600","432900","356500","","","","","","","","","-2900","","-2900","-36000","-36000","","","-38900","317600","4700","","","","312900","900","","308400","3600","n.a.","317600","59100","-300","-9300","-40700","","","-17200","","-3800","-12200","15.199809705","12.654614653"
"8.","AB DYNAMICS PLC","08393914","82990","31/08/2025","114700","566","99","ABDP","Other business support service activities n.e.c.","GB00B9GQVG73","15500","25000","14600","-16300","","","","","","","","","-19700","","","","-1400","-18300","-36000","43400","72400","13900","188900","152900","","","","","","","","","-3300","","-3300","-9700","-9700","","","-13000","139900","200","","","","139700","62900","","76000","800","n.a.","139900","26900","700","-2900","-6500","","","-1900","","-3400","12900","21.795989538","12.72885789"
"9.","ABERDEEN ASIA FOCUS PLC","03106339","64301","31/07/2025","15203","","95","AAS","Activities of investment trusts","GB00BMF19B58","12879","12879","12336","","-34871","-34871","","","","","","","-9979","","","","","-9979","-44850","-26610","594341","","639191","594341","-29913","","","","","","","-29913","","","","-5835","-5835","","","-35748","558593","10965","10965","","","547628","90962","","19523","437143","n.a.","558593","6726","","","29419","","","-11047","","-24320","778","","81.141879892"
"10.","ABERDEEN EQUITY INCOME TRUST PLC","02648152","64301","30/09/2024","12735","","95","AEI","Activities of investment trusts","GB0006039597","12024","12024","11570","","-22462","-22462","","","","","","","-414","","","","","-414","-22876","-19563","158415","","181291","158415","","","","","","","","","","","","","","","","n.a.","158415","12295","12295","","","146120","52043","","10300","83777","n.a.","158415","","","","","","","","","","","","90.851982725"
"11.","ABERDEEN GROUP PLC","SC286832","70100","31/12/2024","1370000","4619","97","ABDN","Activities of head offices","GB00BF8Q6K64","-8000","153000","251000","","","","","","","","","","-2502000","-3000","","-246000","","-2253000","-2502000","604000","3647000","115000","7721000","5219000","","","","","","","","","-7000","-7000","","-165000","-101000","-64000","-8000","-180000","5039000","257000","","","","4777000","640000","","4480000","-343000","5000","5039000","238000","-47000","-25000","258000","","","-260000","","-35000","129000","11.167883212","18.321167883"
"12.","ABERDEEN NEW INDIA INVESTMENT TRUST PLC","02902424","64301","31/03/2025","4664","","89","ANII","Activities of investment trusts","GB0006048770","323","323","-1658","","-19488","-19488","","","","","","","-2308","","","","","-2308","-21796","-17874","446227","","468023","446227","","","","","","","","","","","","-20628","-20628","","","-20628","425599","14768","","","","410831","25406","","-4557","389982","n.a.","425599","-210","-2093","","39171","","","","","-39095","-2227","","-35.548885077"
"13.","ABERDEEN UK SMALLER COMPANIES GROWTH TRUST PLC","SC145455","64301","30/06/2025","11344","","92","AUSC","Activities of investment trusts","GB0002959582","9941","9941","9330","","-40418","-39991","-427","","","","","","-1385","","","","","-1385","-41803","-24634","359195","","400998","359195","","","","","","","","","","","","","","","","n.a.","359195","26041","26041","","","333154","170146","","14434","148574","n.a.","359195","9598","","","64389","","","-8423","","-65266","298","","82.246121298"
"14.","ABERFORTH GEARED VALUE & INCOME TRUST PLC","15602886","64301","30/06/2025","7879","","86","AGVI","Activities of investment trusts","GB00BPJMQ253","7364","7364","7363","","","","","","","","","","-109","","","","","-109","-109","1656","149654","","149763","149654","-42731","","","","","","","-42731","","","","","","","","-42731","106923","1073","1073","","","105850","","","5747","100103","n.a.","106923","5979","-5","","-17134","","","-1610","","13819","1049","","93.450945551"
"15.","ABERFORTH SMALLER COMPANIES TRUST PLC","SC126524","64301","31/12/2024","54506","","92","ASL","Activities of investment trusts","GB0000066554","50058","50058","47631","","","","","","","","","","-302","","","","","-302","-302","3921","1501317","2794","1501619","1501317","-104000","","","","","","","-104000","","","","","","","","-104000","1397317","838","838","","","1396479","","","103854","1292625","n.a.","1397317","43673","-6452","","-19105","","","-43130","","23629","-1385","","87.38670972"
"16.","ABINGDON HEALTH PLC","06475379","20590","30/06/2025","8429","121","86","ABDX","Manufacture of other chemical products n.e.c.","GB00BLF79J41","-3509","-3039","-3496","-1458","-93","","","","","","","-93","-1368","","","-433","-305","-630","-2919","2211","3305","316","9313","6394","-652","","","","","","","-652","-351","","-351","-91","","-91","","-1094","5300","94","","","","5206","37043","","-32173","336","n.a.","5300","-3001","-255","151","-1527","","","","","5106","474","-36.054098944","-41.47585716"
"17.","ABRDN DIVERSIFIED INCOME AND GROWTH PLC","SC003721","64301","30/09/2024","15638","","29","ADIG","Activities of investment trusts","GB0001297562","14158","14158","13874","","","","","","","","","","-2152","-1800","","","","-352","-2152","20781","203306","","205458","203306","","","","","","","","","","","","","","","","n.a.","203306","3238","3238","","","200068","","","28388","171680","n.a.","203306","13539","-604","-1803","141378","","","-17805","","-133276","1429","","88.719785139"
"18.","ABRDN EUROPEAN LOGISTICS INCOME PLC","11032222","64301","31/12/2024","33138.794","","30","ASLI","Activities of investment trusts","GB00BD9PXH49","18602.959","18602.959","11535.917","-2063.321","-116542.944","-115979.168","","","-563.776","","-563.776","","-13932.379","-3329.751","","-718.359","-614.202","-9270.067","-132538.645","500.125","414040.671","5521.204","546579.316","414040.671","-19605.687","","","-19605.687","","-19605.687","","","-79618.913","","-79618.913","-5559.229","-5559.229","","","-104783.828","309256.843","3899.314","","","","305357.526","","","23994.379","281363.148","n.a.","309256.841","15205.422","-4244.027","-1625.196","27491.113","","","-11449.119","","-19632.967","5745.225","","34.810913759"
